GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,83,2,9,1,20,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,13,247,3,10,4,66,3,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,34,28,8,0,8,11,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,11,44,0,0,5,18,3,12,3,12
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,179,29,4,0,40,10,4,4,2,4
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,79,27,4,0,20,9,3,3,1,3
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,22,2,7,2,4,2
